Product_ID,Country,Category,Item_Name,Price_Local,Currency,Technical_Specs,Internal_Notes
KE-Z-1247,Kenya,TV & Display,LED TV 55 inch,59499.66,KES,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Bulk discount applies 15% | Africa Direct Trading | Stock in WH3 Berlin
CD-A-1248,Côte d'Ivoire,Kitchen Appliances,Smart Kettle Pro,30857.92,XOF,"1.7L, 3000W, boil-dry protection, LED display",Africa Direct Trading | VIP margin 25% | Stock in WH3 Berlin
KE-B-1249,Kenya,Kitchen Appliances,Coffee Maker Drip,5423.07,KES,"12-cup, programmable, thermal carafe",Stock in WH3 Berlin | Global Sourcing Co | Bulk discount applies 15%
GH-C-1250,Ghana,Computing,Mechanical Keyboard,947.78,GHS,"Cherry MX, RGB, wired, UK layout",Fulfilled from NL depot | Global Sourcing Co | Promo margin 12%
CA-D-1251,Canada,Personal Care,Electric Toothbrush,58.99,CAD,"Sonic, 3 modes, 2-week battery",Acme Electronics Ltd | Margin 22% | Warehouse A-12
FR-E-1252,France,Kitchen Appliances,Smart Kettle Pro,47.6,EUR,"1.7L, 3000W, boil-dry protection, LED display",Acme Electronics Ltd | Fulfilled from NL depot | Promo margin 12%
US-F-1253,United States,Personal Care,Electric Toothbrush,42.85,USD,"Sonic, 3 modes, 2-week battery",Bulk discount applies 15% | Global Sourcing Co | Fulfilled from NL depot
GE-G-1254,Germany,Home Appliances,Air Purifier Compact,85.55,EUR,"HEPA H13, 3 speeds, 25m² coverage",Fulfilled from NL depot | Promo margin 12% | Africa Direct Trading
UK-H-1255,United Kingdom,Home Appliances,Electric Fan Tower,41.81,GBP,"Oscillating, 3 speeds, remote, timer",Nordic Wholesale | Margin 22% | Low stock alert
US-I-1256,United States,Wearables,Fitness Tracker Band,32.15,USD,"Steps, sleep, HR, 14-day battery",Target margin 18% | Backorder until 02/15 | Nordic Wholesale
GE-J-1257,Germany,Personal Care,Electric Toothbrush,44.27,EUR,"Sonic, 3 modes, 2-week battery",Target margin 18% | Nordic Wholesale | Low stock alert
NI-K-1258,Nigeria,Computing,Webcam HD Pro,89689.96,NGN,"1080p 60fps, built-in mic, auto-focus",Acme Electronics Ltd | Stock in WH3 Berlin | Bulk discount applies 15%
NI-L-1259,Nigeria,Wearables,Fitness Tracker Band,46918.4,NGN,"Steps, sleep, HR, 14-day battery",Warehouse A-12 | Bulk discount applies 15% | Acme Electronics Ltd
FR-M-1260,France,Wearables,Smart Watch Sport,92.53,EUR,"GPS, heart rate, 5ATM, 7-day battery",Target margin 18% | Fulfilled from NL depot | EuroTech Suppliers
NE-N-1261,Netherlands,Power & Batteries,Portable Power Bank 20K,23.89,EUR,"20000mAh, dual USB, 18W PD",Low stock alert | Target margin 18% | Africa Direct Trading
SA-O-1262,South Africa,Kitchen Appliances,Smart Kettle Pro,814.11,ZAR,"1.7L, 3000W, boil-dry protection, LED display",Pacific Imports Inc | Stock in WH3 Berlin | Bulk discount applies 15%
KE-P-1263,Kenya,Lighting,LED Desk Lamp,3930.02,KES,"Dimmable, USB port, 5 brightness levels",Promo margin 12% | EuroTech Suppliers | Warehouse A-12
US-Q-1264,United States,Power & Batteries,Portable Power Bank 20K,28.46,USD,"20000mAh, dual USB, 18W PD",Stock in WH3 Berlin | Africa Direct Trading | VIP margin 25%
SA-R-1265,South Africa,Audio,Bluetooth Speaker,822.16,ZAR,"20W, waterproof IPX7, 15h playback",VIP margin 25% | Stock in WH3 Berlin | Nordic Wholesale
NI-S-1266,Nigeria,Kitchen Appliances,Coffee Maker Drip,60719.41,NGN,"12-cup, programmable, thermal carafe",EuroTech Suppliers | Backorder until 02/15 | Promo margin 12%
CA-T-1267,Canada,Personal Care,Electric Toothbrush,54.42,CAD,"Sonic, 3 modes, 2-week battery",Global Sourcing Co | VIP margin 25% | Low stock alert
GE-U-1268,Germany,Wearables,Fitness Tracker Band,28.31,EUR,"Steps, sleep, HR, 14-day battery",Bulk discount applies 15% | Pacific Imports Inc | Fulfilled from NL depot
NI-V-1269,Nigeria,Audio,Bluetooth Speaker,76353.99,NGN,"20W, waterproof IPX7, 15h playback",Global Sourcing Co | Backorder until 02/15 | Promo margin 12%
NE-W-1270,Netherlands,Home Appliances,Electric Fan Tower,46.45,EUR,"Oscillating, 3 speeds, remote, timer",Bulk discount applies 15% | Fulfilled from NL depot | Nordic Wholesale
SA-X-1271,South Africa,Computing,"Tablet 10""",3620.36,ZAR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Global Sourcing Co | Fulfilled from NL depot | Target margin 18%
CA-Y-1272,Canada,TV & Display,LED TV 55 inch,615.74,CAD,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",EuroTech Suppliers | Margin 22% | Low stock alert
GE-Z-1273,Germany,Kitchen Appliances,Coffee Maker Drip,39.47,EUR,"12-cup, programmable, thermal carafe",VIP margin 25% | Africa Direct Trading | Stock in WH3 Berlin
UK-A-1274,United Kingdom,Lighting,LED Desk Lamp,23.97,GBP,"Dimmable, USB port, 5 brightness levels",EuroTech Suppliers | Target margin 18% | Stock in WH3 Berlin
US-B-1275,United States,Computing,Mechanical Keyboard,82.77,USD,"Cherry MX, RGB, wired, UK layout",Fulfilled from NL depot | Pacific Imports Inc | VIP margin 25%
GE-C-1276,Germany,TV & Display,LED TV 55 inch,471.94,EUR,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Low stock alert | Africa Direct Trading | Target margin 18%
SA-D-1277,South Africa,TV & Display,LED TV 55 inch,8252.69,ZAR,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Africa Direct Trading | VIP margin 25% | Low stock alert
NI-E-1278,Nigeria,Solar & Power,Solar Inverter TS-9000-X,2076275.7,NGN,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Bulk discount applies 15% | Backorder until 02/15 | Nordic Wholesale
GH-F-1279,Ghana,Personal Care,Electric Toothbrush,576.53,GHS,"Sonic, 3 modes, 2-week battery",VIP margin 25% | Pacific Imports Inc | Low stock alert
CA-G-1280,Canada,Kitchen Appliances,Coffee Maker Drip,56.63,CAD,"12-cup, programmable, thermal carafe",Margin 22% | Low stock alert | Acme Electronics Ltd
CA-H-1281,Canada,Wearables,Fitness Tracker Band,42.77,CAD,"Steps, sleep, HR, 14-day battery",Low stock alert | Bulk discount applies 15% | EuroTech Suppliers
SA-I-1282,South Africa,Audio,Bluetooth Speaker,922.47,ZAR,"20W, waterproof IPX7, 15h playback",Target margin 18% | EuroTech Suppliers | Stock in WH3 Berlin
KE-J-1283,Kenya,Home Appliances,Air Purifier Compact,13135.32,KES,"HEPA H13, 3 speeds, 25m² coverage",Global Sourcing Co | Bulk discount applies 15% | Stock in WH3 Berlin
NI-K-1284,Nigeria,Wearables,Smart Watch Sport,134690.51,NGN,"GPS, heart rate, 5ATM, 7-day battery",Target margin 18% | Acme Electronics Ltd | Stock in WH3 Berlin
NE-L-1285,Netherlands,Home Appliances,Electric Fan Tower,52.7,EUR,"Oscillating, 3 speeds, remote, timer",Pacific Imports Inc | Low stock alert | Margin 22%
GH-M-1286,Ghana,Wearables,Smart Watch Sport,1111.72,GHS,"GPS, heart rate, 5ATM, 7-day battery",Backorder until 02/15 | Pacific Imports Inc | Margin 22%
SA-N-1287,South Africa,Lighting,LED Desk Lamp,500.35,ZAR,"Dimmable, USB port, 5 brightness levels",Target margin 18% | Acme Electronics Ltd | Fulfilled from NL depot
UK-O-1288,United Kingdom,Audio,Bluetooth Speaker,38.93,GBP,"20W, waterproof IPX7, 15h playback",Bulk discount applies 15% | EuroTech Suppliers | Low stock alert
KE-P-1289,Kenya,Home Appliances,Air Purifier Compact,13275.97,KES,"HEPA H13, 3 speeds, 25m² coverage",Global Sourcing Co | Target margin 18% | Fulfilled from NL depot
NE-Q-1290,Netherlands,Lighting,LED Desk Lamp,29.35,EUR,"Dimmable, USB port, 5 brightness levels",Target margin 18% | Warehouse A-12 | Global Sourcing Co
CA-R-1291,Canada,Computing,"Tablet 10""",280.66,CAD,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Bulk discount applies 15% | EuroTech Suppliers | Stock in WH3 Berlin
GH-S-1292,Ghana,Computing,Mechanical Keyboard,942.61,GHS,"Cherry MX, RGB, wired, UK layout",Bulk discount applies 15% | Low stock alert | Global Sourcing Co
NE-T-1293,Netherlands,Kitchen Appliances,Coffee Maker Drip,39.33,EUR,"12-cup, programmable, thermal carafe",Stock in WH3 Berlin | Target margin 18% | Acme Electronics Ltd
NE-U-1294,Netherlands,Solar & Power,Solar Inverter TS-9000-X,1133.43,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Promo margin 12% | Low stock alert | Acme Electronics Ltd
GE-V-1295,Germany,Kitchen Appliances,Smart Kettle Pro,43.08,EUR,"1.7L, 3000W, boil-dry protection, LED display",Backorder until 02/15 | Bulk discount applies 15% | Africa Direct Trading
NE-W-1296,Netherlands,Computing,"Tablet 10""",203.8,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Bulk discount applies 15% | Fulfilled from NL depot | Pacific Imports Inc
CA-X-1297,Canada,Kitchen Appliances,Coffee Maker Drip,49.43,CAD,"12-cup, programmable, thermal carafe",Nordic Wholesale | Backorder until 02/15 | VIP margin 25%
FR-Y-1298,France,Computing,"Tablet 10""",192.49,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Backorder until 02/15 | Acme Electronics Ltd | Target margin 18%
GH-Z-1299,Ghana,TV & Display,LED TV 55 inch,5968.36,GHS,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Fulfilled from NL depot | Target margin 18% | Africa Direct Trading
GE-A-1300,Germany,Power & Batteries,Portable Power Bank 20K,22.13,EUR,"20000mAh, dual USB, 18W PD",Low stock alert | Bulk discount applies 15% | Global Sourcing Co
US-B-1301,United States,Computing,"Tablet 10""",217.91,USD,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Promo margin 12% | Pacific Imports Inc | Stock in WH3 Berlin
NI-C-1302,Nigeria,TV & Display,LED TV 55 inch,733801.21,NGN,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Africa Direct Trading | Fulfilled from NL depot | Bulk discount applies 15%
KE-D-1303,Kenya,Audio,Wireless Bluetooth Earbuds,4932.34,KES,"ANC, 24h battery, IPX5, USB-C",Warehouse A-12 | EuroTech Suppliers | VIP margin 25%
NE-E-1304,Netherlands,Wearables,Smart Watch Sport,86.02,EUR,"GPS, heart rate, 5ATM, 7-day battery",Nordic Wholesale | Margin 22% | Stock in WH3 Berlin
UK-F-1305,United Kingdom,Computing,Webcam HD Pro,46.05,GBP,"1080p 60fps, built-in mic, auto-focus",Backorder until 02/15 | Promo margin 12% | Acme Electronics Ltd
SA-G-1306,South Africa,Kitchen Appliances,Coffee Maker Drip,657.16,ZAR,"12-cup, programmable, thermal carafe",Margin 22% | Fulfilled from NL depot | Africa Direct Trading
SA-H-1307,South Africa,Kitchen Appliances,Smart Kettle Pro,804.82,ZAR,"1.7L, 3000W, boil-dry protection, LED display",EuroTech Suppliers | Stock in WH3 Berlin | VIP margin 25%
KE-I-1308,Kenya,Kitchen Appliances,Smart Kettle Pro,6194.96,KES,"1.7L, 3000W, boil-dry protection, LED display",Stock in WH3 Berlin | EuroTech Suppliers | Target margin 18%
US-J-1309,United States,Wearables,Smart Watch Sport,98.15,USD,"GPS, heart rate, 5ATM, 7-day battery",Backorder until 02/15 | Promo margin 12% | EuroTech Suppliers
FR-K-1310,France,Audio,Wireless Bluetooth Earbuds,31.71,EUR,"ANC, 24h battery, IPX5, USB-C",Pacific Imports Inc | Promo margin 12% | Fulfilled from NL depot
KE-L-1311,Kenya,Wearables,Smart Watch Sport,12178.4,KES,"GPS, heart rate, 5ATM, 7-day battery",Acme Electronics Ltd | Target margin 18% | Low stock alert
GH-M-1312,Ghana,Home Appliances,Air Purifier Compact,1330.45,GHS,"HEPA H13, 3 speeds, 25m² coverage",Margin 22% | Warehouse A-12 | Nordic Wholesale
CA-N-1313,Canada,Computing,Webcam HD Pro,78.71,CAD,"1080p 60fps, built-in mic, auto-focus",Stock in WH3 Berlin | Margin 22% | Africa Direct Trading
NI-O-1314,Nigeria,TV & Display,LED TV 55 inch,740774.12,NGN,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Backorder until 02/15 | Target margin 18% | Nordic Wholesale
NI-P-1315,Nigeria,Power & Batteries,Portable Power Bank 20K,42927.55,NGN,"20000mAh, dual USB, 18W PD",Warehouse A-12 | Bulk discount applies 15% | Nordic Wholesale
CD-Q-1316,Côte d'Ivoire,Computing,"Tablet 10""",122970.57,XOF,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Low stock alert | Global Sourcing Co | Bulk discount applies 15%
KE-R-1317,Kenya,Personal Care,Electric Toothbrush,5765.0,KES,"Sonic, 3 modes, 2-week battery",Acme Electronics Ltd | Margin 22% | Backorder until 02/15
GE-S-1318,Germany,Kitchen Appliances,Smart Kettle Pro,41.52,EUR,"1.7L, 3000W, boil-dry protection, LED display",Global Sourcing Co | Target margin 18% | Stock in WH3 Berlin
UK-T-1319,United Kingdom,Home Appliances,Air Purifier Compact,81.6,GBP,"HEPA H13, 3 speeds, 25m² coverage",Margin 22% | Low stock alert | Global Sourcing Co
NE-U-1320,Netherlands,Audio,Wireless Bluetooth Earbuds,31.92,EUR,"ANC, 24h battery, IPX5, USB-C",Acme Electronics Ltd | Stock in WH3 Berlin | Target margin 18%
KE-V-1321,Kenya,Wearables,Fitness Tracker Band,4038.33,KES,"Steps, sleep, HR, 14-day battery",Promo margin 12% | Backorder until 02/15 | Global Sourcing Co
NI-W-1322,Nigeria,Lighting,LED Desk Lamp,48711.32,NGN,"Dimmable, USB port, 5 brightness levels",Warehouse A-12 | Promo margin 12% | Pacific Imports Inc
NI-X-1323,Nigeria,Lighting,LED Desk Lamp,42870.55,NGN,"Dimmable, USB port, 5 brightness levels",Warehouse A-12 | Target margin 18% | Africa Direct Trading
CD-Y-1324,Côte d'Ivoire,Lighting,LED Desk Lamp,16393.92,XOF,"Dimmable, USB port, 5 brightness levels",Target margin 18% | Stock in WH3 Berlin | Pacific Imports Inc
GE-Z-1325,Germany,Power & Batteries,Portable Power Bank 20K,22.01,EUR,"20000mAh, dual USB, 18W PD",Target margin 18% | Warehouse A-12 | Nordic Wholesale
NI-A-1326,Nigeria,Wearables,Fitness Tracker Band,44480.57,NGN,"Steps, sleep, HR, 14-day battery",Acme Electronics Ltd | Promo margin 12% | Low stock alert
UK-B-1327,United Kingdom,Personal Care,Electric Toothbrush,35.32,GBP,"Sonic, 3 modes, 2-week battery",Warehouse A-12 | Bulk discount applies 15% | Nordic Wholesale
KE-C-1328,Kenya,Solar & Power,Solar Inverter TS-9000-X,168879.13,KES,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Pacific Imports Inc | VIP margin 25% | Backorder until 02/15
CA-D-1329,Canada,Home Appliances,Air Purifier Compact,145.28,CAD,"HEPA H13, 3 speeds, 25m² coverage",Nordic Wholesale | Bulk discount applies 15% | Warehouse A-12
CA-E-1330,Canada,TV & Display,LED TV 55 inch,686.65,CAD,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Pacific Imports Inc | Bulk discount applies 15% | Warehouse A-12
US-F-1331,United States,Solar & Power,Solar Inverter TS-9000-X,1365.36,USD,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Promo margin 12% | Warehouse A-12 | Pacific Imports Inc
CD-G-1332,Côte d'Ivoire,Power & Batteries,Portable Power Bank 20K,14487.59,XOF,"20000mAh, dual USB, 18W PD",Promo margin 12% | Acme Electronics Ltd | Low stock alert
KE-H-1333,Kenya,Lighting,LED Desk Lamp,3866.88,KES,"Dimmable, USB port, 5 brightness levels",Promo margin 12% | Warehouse A-12 | EuroTech Suppliers
UK-I-1334,United Kingdom,Audio,Wireless Bluetooth Earbuds,27.18,GBP,"ANC, 24h battery, IPX5, USB-C",Backorder until 02/15 | Margin 22% | Africa Direct Trading
GE-J-1335,Germany,Audio,Bluetooth Speaker,50.65,EUR,"20W, waterproof IPX7, 15h playback",Backorder until 02/15 | Global Sourcing Co | Promo margin 12%
CA-K-1336,Canada,Solar & Power,Solar Inverter TS-9000-X,1721.56,CAD,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Warehouse A-12 | Target margin 18% | Africa Direct Trading
UK-L-1337,United Kingdom,Lighting,LED Desk Lamp,21.23,GBP,"Dimmable, USB port, 5 brightness levels",Global Sourcing Co | Backorder until 02/15 | Bulk discount applies 15%
UK-M-1338,United Kingdom,TV & Display,LED TV 55 inch,399.77,GBP,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Stock in WH3 Berlin | VIP margin 25% | Pacific Imports Inc
SA-N-1339,South Africa,Personal Care,Electric Toothbrush,764.42,ZAR,"Sonic, 3 modes, 2-week battery",Stock in WH3 Berlin | Africa Direct Trading | Margin 22%
CA-O-1340,Canada,Home Appliances,Electric Fan Tower,79.12,CAD,"Oscillating, 3 speeds, remote, timer",Acme Electronics Ltd | Promo margin 12% | Warehouse A-12
GH-P-1341,Ghana,TV & Display,LED TV 55 inch,5462.24,GHS,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",EuroTech Suppliers | Margin 22% | Stock in WH3 Berlin
CD-Q-1342,Côte d'Ivoire,Kitchen Appliances,Coffee Maker Drip,23700.07,XOF,"12-cup, programmable, thermal carafe",Bulk discount applies 15% | Stock in WH3 Berlin | Africa Direct Trading
NE-R-1343,Netherlands,Audio,Wireless Bluetooth Earbuds,31.73,EUR,"ANC, 24h battery, IPX5, USB-C",Target margin 18% | Stock in WH3 Berlin | Africa Direct Trading
US-S-1344,United States,Audio,Wireless Bluetooth Earbuds,38.24,USD,"ANC, 24h battery, IPX5, USB-C",Margin 22% | Low stock alert | EuroTech Suppliers
SA-T-1345,South Africa,Computing,"Tablet 10""",4094.51,ZAR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Global Sourcing Co | Bulk discount applies 15% | Backorder until 02/15
FR-U-1346,France,Solar & Power,Solar Inverter TS-9000-X,1135.8,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Fulfilled from NL depot | Promo margin 12% | Africa Direct Trading
CA-V-1347,Canada,Audio,Wireless Bluetooth Earbuds,53.87,CAD,"ANC, 24h battery, IPX5, USB-C",Pacific Imports Inc | Backorder until 02/15 | Target margin 18%
NI-W-1348,Nigeria,Computing,Webcam HD Pro,92311.58,NGN,"1080p 60fps, built-in mic, auto-focus",Pacific Imports Inc | Backorder until 02/15 | VIP margin 25%
CD-X-1349,Côte d'Ivoire,Computing,Mechanical Keyboard,51242.16,XOF,"Cherry MX, RGB, wired, UK layout",Margin 22% | Nordic Wholesale | Fulfilled from NL depot
UK-Y-1350,United Kingdom,Home Appliances,Air Purifier Compact,81.18,GBP,"HEPA H13, 3 speeds, 25m² coverage",Margin 22% | Nordic Wholesale | Low stock alert
GE-Z-1351,Germany,Kitchen Appliances,Smart Kettle Pro,42.73,EUR,"1.7L, 3000W, boil-dry protection, LED display",Bulk discount applies 15% | Stock in WH3 Berlin | Africa Direct Trading
NE-A-1352,Netherlands,Lighting,LED Desk Lamp,28.37,EUR,"Dimmable, USB port, 5 brightness levels",Nordic Wholesale | Fulfilled from NL depot | Margin 22%
SA-B-1353,South Africa,Computing,Webcam HD Pro,977.49,ZAR,"1080p 60fps, built-in mic, auto-focus",Promo margin 12% | Stock in WH3 Berlin | Nordic Wholesale
GE-C-1354,Germany,Home Appliances,Air Purifier Compact,90.46,EUR,"HEPA H13, 3 speeds, 25m² coverage",Margin 22% | Pacific Imports Inc | Low stock alert
GH-D-1355,Ghana,Home Appliances,Air Purifier Compact,1312.3,GHS,"HEPA H13, 3 speeds, 25m² coverage",Promo margin 12% | EuroTech Suppliers | Backorder until 02/15
CD-E-1356,Côte d'Ivoire,Computing,Mechanical Keyboard,45959.85,XOF,"Cherry MX, RGB, wired, UK layout",Stock in WH3 Berlin | Africa Direct Trading | Margin 22%
NE-F-1357,Netherlands,Solar & Power,Solar Inverter TS-9000-X,1124.96,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",EuroTech Suppliers | Target margin 18% | Backorder until 02/15
FR-G-1358,France,Audio,Wireless Bluetooth Earbuds,35.7,EUR,"ANC, 24h battery, IPX5, USB-C",Pacific Imports Inc | Low stock alert | Bulk discount applies 15%
SA-H-1359,South Africa,Computing,"Tablet 10""",3770.57,ZAR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Low stock alert | Pacific Imports Inc | VIP margin 25%
CA-I-1360,Canada,Computing,Webcam HD Pro,81.6,CAD,"1080p 60fps, built-in mic, auto-focus",Backorder until 02/15 | Africa Direct Trading | Promo margin 12%
NI-J-1361,Nigeria,Lighting,LED Desk Lamp,41857.82,NGN,"Dimmable, USB port, 5 brightness levels",Stock in WH3 Berlin | Target margin 18% | Global Sourcing Co
GH-K-1362,Ghana,Kitchen Appliances,Coffee Maker Drip,533.74,GHS,"12-cup, programmable, thermal carafe",Backorder until 02/15 | EuroTech Suppliers | Bulk discount applies 15%
UK-L-1363,United Kingdom,Computing,Webcam HD Pro,45.59,GBP,"1080p 60fps, built-in mic, auto-focus",Acme Electronics Ltd | Stock in WH3 Berlin | VIP margin 25%
US-M-1364,United States,Computing,Mechanical Keyboard,85.88,USD,"Cherry MX, RGB, wired, UK layout",Warehouse A-12 | Promo margin 12% | Global Sourcing Co
SA-N-1365,South Africa,Lighting,LED Desk Lamp,512.14,ZAR,"Dimmable, USB port, 5 brightness levels",Bulk discount applies 15% | Backorder until 02/15 | Nordic Wholesale
KE-O-1366,Kenya,Kitchen Appliances,Smart Kettle Pro,5752.99,KES,"1.7L, 3000W, boil-dry protection, LED display",Backorder until 02/15 | Global Sourcing Co | Bulk discount applies 15%
CD-P-1367,Côte d'Ivoire,Computing,Mechanical Keyboard,50718.75,XOF,"Cherry MX, RGB, wired, UK layout",Backorder until 02/15 | Pacific Imports Inc | Bulk discount applies 15%
NI-Q-1368,Nigeria,Wearables,Fitness Tracker Band,46453.8,NGN,"Steps, sleep, HR, 14-day battery",Nordic Wholesale | Stock in WH3 Berlin | Bulk discount applies 15%
FR-R-1369,France,Audio,Wireless Bluetooth Earbuds,32.56,EUR,"ANC, 24h battery, IPX5, USB-C",Warehouse A-12 | EuroTech Suppliers | Bulk discount applies 15%
KE-S-1370,Kenya,Audio,Bluetooth Speaker,6460.08,KES,"20W, waterproof IPX7, 15h playback",Promo margin 12% | Acme Electronics Ltd | Warehouse A-12
CD-T-1371,Côte d'Ivoire,Lighting,LED Desk Lamp,16399.31,XOF,"Dimmable, USB port, 5 brightness levels",VIP margin 25% | Warehouse A-12 | Nordic Wholesale
GE-U-1372,Germany,Computing,"Tablet 10""",184.19,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Nordic Wholesale | Target margin 18% | Fulfilled from NL depot
NI-V-1373,Nigeria,Wearables,Fitness Tracker Band,50004.05,NGN,"Steps, sleep, HR, 14-day battery",EuroTech Suppliers | Promo margin 12% | Fulfilled from NL depot
GH-W-1374,Ghana,Power & Batteries,Portable Power Bank 20K,312.54,GHS,"20000mAh, dual USB, 18W PD",Global Sourcing Co | Backorder until 02/15 | VIP margin 25%
CD-X-1375,Côte d'Ivoire,TV & Display,LED TV 55 inch,282078.98,XOF,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Nordic Wholesale | Low stock alert | Margin 22%
SA-Y-1376,South Africa,Home Appliances,Electric Fan Tower,901.11,ZAR,"Oscillating, 3 speeds, remote, timer",Warehouse A-12 | Bulk discount applies 15% | EuroTech Suppliers
CD-Z-1377,Côte d'Ivoire,Solar & Power,Solar Inverter TS-9000-X,802143.83,XOF,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Warehouse A-12 | Margin 22% | Africa Direct Trading
NE-A-1378,Netherlands,Lighting,LED Desk Lamp,28.06,EUR,"Dimmable, USB port, 5 brightness levels",VIP margin 25% | Acme Electronics Ltd | Backorder until 02/15
CA-B-1379,Canada,Audio,Bluetooth Speaker,71.4,CAD,"20W, waterproof IPX7, 15h playback",Africa Direct Trading | Low stock alert | Target margin 18%
US-C-1380,United States,Computing,"Tablet 10""",191.97,USD,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Fulfilled from NL depot | Target margin 18% | Pacific Imports Inc
GH-D-1381,Ghana,Audio,Bluetooth Speaker,659.26,GHS,"20W, waterproof IPX7, 15h playback",Nordic Wholesale | Fulfilled from NL depot | Bulk discount applies 15%
NE-E-1382,Netherlands,Solar & Power,Solar Inverter TS-9000-X,1138.51,EUR,"5kW capacity, IP65 rated, 10-year warranty, MPPT tracking",Fulfilled from NL depot | Margin 22% | Pacific Imports Inc
NI-F-1383,Nigeria,Personal Care,Electric Toothbrush,66376.16,NGN,"Sonic, 3 modes, 2-week battery",Backorder until 02/15 | Target margin 18% | Pacific Imports Inc
KE-G-1384,Kenya,Computing,"Tablet 10""",25261.08,KES,"128GB, 10.1"" FHD, 4GB RAM, WiFi",Acme Electronics Ltd | Low stock alert | VIP margin 25%
FR-H-1385,France,Kitchen Appliances,Smart Kettle Pro,45.4,EUR,"1.7L, 3000W, boil-dry protection, LED display",Promo margin 12% | Warehouse A-12 | Nordic Wholesale
GH-I-1386,Ghana,Audio,Bluetooth Speaker,604.99,GHS,"20W, waterproof IPX7, 15h playback",Nordic Wholesale | Stock in WH3 Berlin | Margin 22%
US-J-1387,United States,Power & Batteries,Portable Power Bank 20K,25.97,USD,"20000mAh, dual USB, 18W PD",Fulfilled from NL depot | Promo margin 12% | Nordic Wholesale
NI-K-1388,Nigeria,Home Appliances,Air Purifier Compact,157674.55,NGN,"HEPA H13, 3 speeds, 25m² coverage",Global Sourcing Co | Promo margin 12% | Backorder until 02/15
KE-L-1389,Kenya,Power & Batteries,Portable Power Bank 20K,3581.87,KES,"20000mAh, dual USB, 18W PD",Nordic Wholesale | Backorder until 02/15 | Bulk discount applies 15%
GE-M-1390,Germany,TV & Display,LED TV 55 inch,408.88,EUR,"55"" FHD LED, Smart TV, 3x HDMI, USB, built-in WiFi",Backorder until 02/15 | VIP margin 25% | Africa Direct Trading
NI-N-1391,Nigeria,Power & Batteries,Portable Power Bank 20K,40423.17,NGN,"20000mAh, dual USB, 18W PD",Backorder until 02/15 | Acme Electronics Ltd | Margin 22%
CA-O-1392,Canada,Kitchen Appliances,Coffee Maker Drip,54.0,CAD,"12-cup, programmable, thermal carafe",Africa Direct Trading | Warehouse A-12 | Target margin 18%
CD-P-1393,Côte d'Ivoire,Audio,Bluetooth Speaker,30319.14,XOF,"20W, waterproof IPX7, 15h playback",Margin 22% | Africa Direct Trading | Low stock alert
SA-Q-1394,South Africa,Computing,Webcam HD Pro,1113.46,ZAR,"1080p 60fps, built-in mic, auto-focus",Target margin 18% | Stock in WH3 Berlin | Nordic Wholesale
GE-R-1395,Germany,Home Appliances,Air Purifier Compact,91.77,EUR,"HEPA H13, 3 speeds, 25m² coverage",Acme Electronics Ltd | Backorder until 02/15 | Margin 22%
GE-S-1396,Germany,Computing,"Tablet 10""",189.45,EUR,"128GB, 10.1"" FHD, 4GB RAM, WiFi",EuroTech Suppliers | VIP margin 25% | Fulfilled from NL depot
SA-T-1397,South Africa,Wearables,Fitness Tracker Band,548.03,ZAR,"Steps, sleep, HR, 14-day battery",Pacific Imports Inc | Backorder until 02/15 | Margin 22%
US-U-1398,United States,Home Appliances,Electric Fan Tower,58.06,USD,"Oscillating, 3 speeds, remote, timer",Global Sourcing Co | Margin 22% | Backorder until 02/15
